Number;H;Depth;Rock;Color;ТЕКСТУРА;Включения органогенные;Включения минеральные;НЕФТЕНАСЫЩЕНИЕ;ПОДОШВА СЛОЯ
1;1;1009;Песчаники крупнозернистые;буро-\бежевые;Массивная;;Нефть;Умеренное;не охарактеризована керном
2;0.8;1008.2;Глины;\темно-серые;Горизонтальная параллельная;Углистый детрит;;;неровная
3;0.7;1007.5;Песчаники крупнозернистые;серо-\бежевые;Массивная\Горизонтальная параллельная;;Нефть;Незначительное;неровная
4;0.5;1007;Глины;\темно-серые;Горизонтальная параллельная\Горизонтальная волнистая;Углистые остатки;;;неровная
5;0.1;1006.9;Угли;\чёрные;Горизонтальная параллельная;;;;ровная
6;1;1005.9;Песчаники крупнозернистые;\бежевые;Массивная;;;;неровная
7;0.8;1005.1;Глины;\темно-серые;Горизонтальная параллельная;Углистый детрит;;;неровная
8;0.3;1004.8;Угли;\чёрные;Горизонтальная параллельная;;;;ровная
9;0.8;1004;Глины;\темно-серые;Горизонтальная параллельная;Углистые остатки;;;ровная
10;1;1003;Песчаники крупнозернистые;серо-\бежевые;Массивная;;;;неровная
11;0.7;1002.3;Известняки песчанистые;белесо-\бежевые;Массивная;;;;ровная
12;0.5;1001.8;Песчаники крупнозернистые;\бежевые;Массивная;;Нефть;Умеренное;ровная
13;1;1000.8;Глины;\темно-серые;Горизонтальная параллельная;Углистые остатки;;;неровная
14;0.8;1000;Песчаники крупнозернистые;\серые;Массивная;Углистый детрит;;;неровная
13;1;999.0;Глины;\темно-серые;Горизонтальная параллельная;Углистые остатки;;;неровная
14;0.8;998.2;Песчаники крупнозернистые;\серые;Массивная;Углистый детрит;;;неровная